Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Costa Rica,CRI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,78836.51261,,,,,66598.22177,,,,,58122.48929,,,,,51232.80641,,,,,44781.59659,,,,,39170.06603,,,,,34382.82076,,,,,30384.90413,,,,,27554.77914,,,,,25654.84561,,,,,24104.08014,,,,,22828.49036,22602.51792,,,
Caribbean small states,CSS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,85349.37453,,,,,78848.71819,,,,,74128.99493,,,,,70065.76485,,,,,66141.95121,,,,,63034.83397,,,,,60787.19614,,,,,58254.45309,,,,,56257.51896,,,,,54376.93187,,,,,52537.52488,,,,,50797.16132,50493.62482,,,
Cuba,CUB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5114.351781,,,,,4611.454141,,,,,4223.66032,,,,,3951.838984,,,,,3834.888918,,,,,3705.77579,,,,,3550.542985,,,,,3468.693043,,,,,3403.673539,,,,,3388.108043,,,,,3386.303698,,,,,3361.772885,3362.101705,,,
Curacao,CUW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1350.191104,,,,,1319.125116,,,,,1242.034261,,,,,1172.014106,,,,,1127.630415,,,,,1078.265486,,,,,974.2571289,,,,,875.2342374,,,,,798.3884836,,,,,733.2839463,,,,,687.1968185,,,,,661.1934542,655.8689338,,,
Czech Republic,CZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.187191,,,,,1289.605602,,,,,1276.844317,,,,,1251.095898,,,,,1241.217326,1237.07329,,,
Germany,DEU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1445.442307,,,,,1390.489179,,,,,1359.792921,,,,,1368.989952,,,,,1365.956877,,,,,1374.616007,,,,,1327.1384,,,,,1304.324967,,,,,1297.150591,,,,,1300.652957,,,,,1330.418465,,,,,1294.506181,1290.621684,,,
Djibouti,DJI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3184.611955,,,,,2283.01815,,,,,1673.761556,,,,,1081.190174,,,,,778.6787379,,,,,611.8241128,,,,,487.7652223,,,,,453.9553126,,,,,401.6349219,,,,,372.459824,,,,,345.5679755,,,,,317.7629488,312.8509797,,,
Dominica,DMA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3226.951499,,,,,2954.777136,,,,,2788.194783,,,,,2723.200305,,,,,2666.240068,,,,,2783.886863,,,,,2835.029626,,,,,2833.18223,,,,,2863.688431,,,,,2824.97846,,,,,2818.727626,,,,,2798.768542,2792.282132,,,
Denmark,DNK,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1290.953621,,,,,1240.860545,,,,,1202.020356,,,,,1179.148179,,,,,1172.376466,,,,,1170.269536,,,,,1160.234135,,,,,1135.290486,,,,,1116.085753,,,,,1098.611758,,,,,1073.043502,,,,,1040.766837,1035.619083,,,
Dominican Republic,DOM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,6674.206153,,,,,5699.594965,,,,,4941.683924,,,,,4345.819211,,,,,3872.922651,,,,,3491.863957,,,,,3172.101061,,,,,2906.830396,,,,,2693.417768,,,,,2516.368172,,,,,2366.347676,,,,,2235.304088,2211.317864,,,
Algeria,DZA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,967.9144993,,,,,847.230362,,,,,735.7716791,,,,,639.6556108,,,,,549.8975427,,,,,473.0741242,,,,,416.1189389,,,,,378.1396484,,,,,353.0673729,,,,,329.1775075,,,,,300.8514441,,,,,271.7377254,266.3372518,,,
East Asia & Pacific (excluding high income),EAP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,9692.753104,,,,,8527.006706,,,,,7464.993313,,,,,6766.397362,,,,,6251.301549,,,,,5754.292182,,,,,5316.395553,,,,,4992.441928,,,,,4749.873217,,,,,4566.163422,,,,,4397.323817,,,,,4227.84304,4200.134389,,,
Early-demographic dividend,EAR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,12007.32987,,,,,10651.92648,,,,,9435.419689,,,,,8358.915393,,,,,7384.334017,,,,,6530.810506,,,,,5797.411879,,,,,5166.918323,,,,,4721.389837,,,,,4351.627425,,,,,4035.620426,,,,,3768.608784,3719.964249,,,
East Asia & Pacific,EAS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,9692.520175,,,,,8588.752706,,,,,7566.419177,,,,,6883.538986,,,,,6380.077192,,,,,5900.989474,,,,,5478.164465,,,,,5162.201401,,,,,4924.160434,,,,,4744.130548,,,,,4576.892606,,,,,4410.749771,4383.45694,,,
Europe & Central Asia (excluding high income),ECA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14039.64786,,,,,13910.52938,,,,,13871.8461,,,,,13500.09798,,,,,13141.76109,,,,,12713.73526,12644.76715,,,
Europe & Central Asia,ECS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8553.891828,,,,,8334.029014,,,,,8273.404352,,,,,8086.091779,,,,,7937.381847,,,,,7755.800928,7726.866459,,,
Ecuador,ECU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,91990.46659,,,,,79568.15928,,,,,68809.15523,,,,,59915.6549,,,,,52607.82106,,,,,46459.06131,,,,,41283.55654,,,,,37016.40729,,,,,33659.31282,,,,,30944.51992,,,,,28589.70981,,,,,26356.30725,25895.03065,,,
"Egypt, Arab Rep.",EGY,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,35.57167126,,,,,31.19491563,,,,,27.69878239,,,,,24.79569033,,,,,21.95905756,,,,,19.23384073,,,,,17.04541232,,,,,15.41015618,,,,,13.98894012,,,,,12.78247284,,,,,11.57109559,,,,,10.36886297,10.16016463,,,
Euro area,EMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3614.716157,,,,,3464.448559,,,,,3360.18035,,,,,3278.148576,,,,,3218.706212,,,,,3188.350037,,,,,3225.798253,,,,,3165.092718,,,,,3112.717146,,,,,3032.993157,,,,,3001.287792,,,,,2956.798112,2950.21038,,,
Eritrea,ERI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.514852,,,,,1128.550349,,,,,934.4110207,,,,,861.5108932,,,,,820.4180968,810.9367565,,,
Spain,ESP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3584.395065,,,,,3402.38596,,,,,3213.457776,,,,,3045.604254,,,,,2927.393378,,,,,2874.512906,,,,,2839.800157,,,,,2776.017179,,,,,2683.944446,,,,,2458.719003,,,,,2377.43718,,,,,2386.612512,2376.182413,,,
Estonia,EST,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8290.440685,,,,,9081.587813,,,,,9214.485084,,,,,9480.263747,,,,,9609.161894,,,,,9647.908279,9614.388147,,,
Ethiopia,ETH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.969349,,,,,1739.326558,,,,,1512.252786,,,,,1315.6904,,,,,1146.617339,1116.966436,,,
European Union,EUU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3654.582351,,,,,3502.21718,,,,,3392.297942,,,,,3298.075498,,,,,3230.743005,,,,,3191.321033,,,,,3274.884164,,,,,3180.396473,,,,,3155.714714,,,,,3101.114035,,,,,3080.546027,,,,,3047.472246,3042.502839,,,
Fragile and conflict affected situations,FCS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,27144.71441,,,,,24139.62643,,,,,21356.23988,,,,,18704.98566,,,,,16419.75106,,,,,14645.14946,,,,,11345.88639,,,,,9167.082394,,,,,8223.42166,,,,,7325.511045,,,,,6188.930328,,,,,5536.025147,5420.113831,,,
Finland,FIN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,23823.07869,,,,,23231.86004,,,,,23062.04963,,,,,22579.07,,,,,22167.28511,,,,,21694.51167,,,,,21221.77108,,,,,20817.7889,,,,,20574.557,,,,,20231.73849,,,,,19763.68178,,,,,19425.5343,19399.78515,,,
Fiji,FJI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,67706.49295,,,,,58507.33545,,,,,52593.47546,,,,,47718.61561,,,,,42721.54977,,,,,39555.20826,,,,,38349.4298,,,,,36014.51177,,,,,35019.63185,,,,,34143.1621,,,,,33003.30033,,,,,32537.09571,32315.02337,,,
France,FRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4174.940093,,,,,3938.885203,,,,,3788.3702,,,,,3671.900355,,,,,3589.443733,,,,,3490.240467,,,,,3398.400468,,,,,3335.287756,,,,,3235.970217,,,,,3124.207867,,,,,3046.003146,,,,,2988.731585,2980.540202,,,
Faroe Islands,FRO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
